id,timestamp,illuminance,latitude,longitude,altitude,log_illuminance,diameter
DC8A983D-599C-4F7E-A886-7EBA94511637,2024-03-27 03:51:59 +0000,0.5,37.43112440982856,-122.17509236521656,29.203953420743343,14.122363377404328,141.2236337740433
F156207C-5137-4C55-A1DE-18403FA9B7D0,2024-03-27 03:52:01 +0000,3.0,37.431148424186695,-122.175090895163,29.292709379456937,15.914122846632383,159.14122846632384
33F02A5E-7BAC-4A19-B77C-B44D501A1E1E,2024-03-27 03:52:03 +0000,6.3,37.43116341150907,-122.17507952358017,29.0428458834067,16.65606019136176,166.5606019136176
64E237A5-C767-4431-A188-BC565E2A603C,2024-03-27 03:52:05 +0000,16.1,37.43118185724156,-122.17507802699298,29.54953324329108,17.59432982995469,175.9432982995469
08247F24-BF1C-4568-9988-29EBC075A2DE,2024-03-27 03:52:29 +0000,9.8,37.43119219485054,-122.1749795005164,28.679254225455225,17.0978929436408,170.978929436408
41933B07-293E-4885-9202-4FD9EFF6F61C,2024-03-27 03:52:31 +0000,9.4,37.43118027381245,-122.1749665001976,28.751591626554728,17.056220247240233,170.56220247240233
5F1C0887-E439-4DEB-BF15-C32403F307EF,2024-03-27 03:52:40 +0000,45.8,37.43116550657527,-122.17496354791716,28.75395730137825,18.63979464908441,186.3979464908441
83C7F054-A103-437D-BBCC-D43A0F0D7264,2024-03-27 03:52:49 +0000,24.1,37.43117554704419,-122.17496862288816,29.326892443932596,17.997722398460883,179.97722398460883
341100CE-F4F7-4935-9B98-43BAE633046D,2024-03-27 03:52:53 +0000,32.4,37.43119972818774,-122.17494048764352,28.39754154812545,18.293668980762558,182.93668980762558
6D48900F-650D-41A9-9D72-0824EA338CD1,2024-03-27 03:52:57 +0000,50.9,37.431200267302216,-122.1749320496002,27.65503498539329,18.74537348152075,187.4537348152075
E8F6D996-11CF-4BEB-84D7-28EFDC850C16,2024-03-27 03:53:05 +0000,30.3,37.43120306037482,-122.17485312667635,28.660875903442506,18.226658270479597,182.26658270479595
8D205DEE-6819-4FFF-9052-4E76060E719F,2024-03-27 03:53:09 +0000,18.5,37.43118816922617,-122.17483579799188,28.97777626104653,17.733281290048552,177.33281290048552
C54EE842-55FE-4E5E-AEBD-370667683C81,2024-03-27 03:53:13 +0000,37.4,37.43114760099862,-122.1747952939703,27.072285905480385,18.43718126238476,184.37181262384763
A5B21B6D-224C-4306-B99F-BEC04A165ADB,2024-03-27 03:53:23 +0000,13.3,37.43110538283712,-122.17473421127124,28.021203009411693,17.40327459319198,174.0327459319198
819F8946-E59B-4195-8687-8E349BF47426,2024-03-27 03:53:25 +0000,11.4,37.43110118327253,-122.17472570956922,28.34373040497303,17.249123913364723,172.49123913364724
79137389-9E6F-40FD-900E-6EFF15BE7ADA,2024-03-27 03:53:29 +0000,13.2,37.43106239521388,-122.17470854143882,27.30361031834036,17.395727387556597,173.957273875566
EDC4735E-A727-494D-8DE7-07D347944670,2024-03-27 03:53:31 +0000,12.1,37.43105291983247,-122.17468440959202,25.79975231271237,17.308716010566968,173.08716010566968
08B9F803-EEB4-4C4B-B7CD-6AF616490EAC,2024-03-27 03:53:34 +0000,9.6,37.431028646798495,-122.17464055929568,25.89469347894192,17.077273656438063,170.77273656438064
D0AC77FC-1366-4EE1-A314-D53B9FF32898,2024-03-27 03:53:44 +0000,19.0,37.431157502337285,-122.174491437176,28.5367871709168,17.759949537130716,177.59949537130717
4FB1F15A-B912-4FA3-81F0-A6CE10ABB300,2024-03-27 03:53:49 +0000,27.7,37.43121633065911,-122.1744462792008,30.48239819239825,18.136942971157566,181.36942971157566
B482B37B-7A61-43D4-A6F5-67EDB1908DD7,2024-03-27 03:53:51 +0000,44.6,37.43122679740341,-122.17445195375316,30.289256585761905,18.61324441699029,186.1324441699029
8CAA63A3-F8C7-4680-9942-E34DC538C162,2024-03-27 03:53:54 +0000,42.3,37.4312462487102,-122.17447663126832,30.176101465709507,18.560297644016504,185.60297644016504
5D318941-9CA2-455B-8BEF-BF2896BBFCB1,2024-03-27 03:53:57 +0000,36.1,37.431260793703714,-122.17452678314804,29.15122122038156,18.401803423303107,184.01803423303107
E6F01C48-83DC-4AAD-A5B2-FFADF6BB7E2D,2024-03-27 03:54:00 +0000,30.5,37.43127691597156,-122.17454373705374,28.924174181185663,18.23323724157764,182.3323724157764
EA7AD99F-A34E-44EA-8539-95B6EFFD6B5C,2024-03-27 03:54:03 +0000,20.9,37.43129432469067,-122.17453933287852,29.15947690047324,17.855259716935038,178.55259716935038
0DF07304-61B1-409F-A785-E7873BD0ADE9,2024-03-27 03:54:09 +0000,25.0,37.43133159460868,-122.17453823450508,30.89965544268489,18.034386382832473,180.34386382832474
929F3993-9C7E-46C6-80D2-DDF5B4FF534D,2024-03-27 03:54:12 +0000,34.2,37.43132999415875,-122.17454201058428,30.47239523846656,18.347736202032834,183.47736202032834
3F5EEE1D-DA25-4E4B-8BAB-4F2DA65EAF30,2024-03-27 03:54:15 +0000,44.3,37.43133428710272,-122.17454374228646,30.156147435307503,18.606495235015363,186.06495235015362
346053A7-F0C1-4623-A8C9-7AD923D3FD5B,2024-03-27 03:54:21 +0000,85.1,37.431387811025175,-122.17449721024865,30.61755713727325,19.259337593543602,192.59337593543603
2D9B8361-3DA8-4B66-AB11-8AB87F87DE05,2024-03-27 03:54:24 +0000,57.3,37.43142698084775,-122.17447354497828,30.97562395036221,18.863811181684966,188.63811181684966
A27DF4A0-4A27-41D9-AC7B-396980B85A0A,2024-03-27 03:54:26 +0000,44.8,37.4314581400268,-122.17445991732244,30.92305899877101,18.617718697385214,186.17718697385214
03120D1F-653E-4E74-8842-E81A880A1D96,2024-03-27 03:54:29 +0000,22.0,37.43149868212331,-122.17445144048445,30.35112568549812,17.90655301132259,179.0655301132259
2C29D37D-906E-427A-9B7D-3E8EEDFEBB9D,2024-03-27 03:54:32 +0000,42.2,37.43152202590956,-122.1744374403504,30.31380726210773,18.55793077900624,185.57930779006242
022A7FEB-D681-4C81-97C2-0FF7C2F3387D,2024-03-27 03:54:36 +0000,22.7,37.43153356685141,-122.17443640978225,28.99985380191356,17.93787548245163,179.3787548245163
C22FE526-224E-4B0F-8892-03D1FF97571D,2024-03-27 03:54:37 +0000,56.0,37.431542709677394,-122.17442587249444,28.646715751849115,18.840862248699423,188.40862248699423
6127FFD3-DD94-4439-94C3-FF203BC3C8DE,2024-03-27 03:54:39 +0000,61.0,37.43155886446456,-122.1744229584864,28.68300775624812,18.926384422137584,189.26384422137585
E7603C31-FD61-4E51-A5A2-3080D8696C77,2024-03-27 03:54:42 +0000,63.2,37.43159077165382,-122.1744304164664,29.15504897851497,18.961814859117084,189.61814859117084
BCFAEBD9-90A7-47CA-ADBE-C558FD7A06A4,2024-03-27 03:54:45 +0000,53.9,37.431633988507386,-122.17444728790116,29.80674240086228,18.802641035879226,188.02641035879225
9B49DFC3-DBC5-4C21-9A2D-E29A5B7D7815,2024-03-27 03:54:48 +0000,44.1,37.43165902932021,-122.17445373503784,30.174748671241105,18.601970340417076,186.01970340417074
C1E418B8-601E-4874-9A7F-BFD5C8B963A9,2024-03-27 03:54:58 +0000,53.7,37.43180102471327,-122.17443392284522,30.17953581083566,18.798923559479093,187.98923559479093
F066E984-6695-4DC9-86C0-38A427A75C42,2024-03-27 03:55:00 +0000,63.7,37.43183498554672,-122.17441121482167,30.42729580681771,18.96969512054239,189.6969512054239
2221F186-4A52-4D44-A9BA-27918C15FA64,2024-03-27 03:55:04 +0000,62.7,37.43186779522051,-122.17438345792594,30.485508479177952,18.95387200560315,189.53872005603148
119A7673-F8B8-420B-A128-9CCA3A5DD494,2024-03-27 03:55:06 +0000,61.5,37.43190549161136,-122.17434689267748,31.22428436856717,18.934547732776746,189.34547732776747
C871A7E8-6B72-4EB8-B8BB-4B925A924C68,2024-03-27 03:55:11 +0000,40.9,37.43194252716631,-122.17429532424534,31.56163475289941,18.52664062101303,185.2664062101303
8B4472AC-C70A-43B6-B190-30DFB9AE7AD4,2024-03-27 03:55:16 +0000,43.3,37.43195862481968,-122.17426423782427,31.440774276852608,18.58366319297272,185.8366319297272
D1ED815C-03C3-47AA-816A-FD22C2FF5740,2024-03-27 03:55:20 +0000,43.0,37.43198285796088,-122.1742295100379,31.002032289281487,18.576710673657836,185.76710673657834
7408DBD9-7C70-431E-B919-B6765B0DB3BB,2024-03-27 03:55:24 +0000,47.0,37.432014580565166,-122.1741818368684,31.01554481126368,18.665658159674333,186.65658159674334
81BDEC70-B757-4F50-94DD-51E26000E0EA,2024-03-27 03:55:27 +0000,34.5,37.43199671457562,-122.174131839062,29.874682819470763,18.356469882001587,183.56469882001588
91104DEE-DD6B-461F-879C-CC6A7748BD7C,2024-03-27 03:55:42 +0000,1e-06,37.432070282774106,-122.17400095883588,28.093247805722054,1.0,10.0
949B3A9D-19DC-47EB-B0AD-B0803F193E23,2024-03-27 03:55:44 +0000,1e-06,37.43207781084383,-122.17399730247196,27.8991785729304,1.0,10.0
6AD7A27F-A99D-4386-B3B3-ACC4573E9316,2024-03-27 03:55:46 +0000,1e-06,37.43209670294766,-122.17399968694971,27.579243700951334,1.0,10.0
6EC81CFA-CFD1-4615-8A20-BB5C8AB3DB24,2024-03-27 03:55:48 +0000,1e-06,37.43211938301653,-122.17400064388356,27.564207177609205,1.0,10.0
A55DBED1-5692-4C7B-BA58-D5D7B1098307,2024-03-27 03:55:50 +0000,1e-06,37.43213536223327,-122.17400418866026,27.315800606273115,1.0,10.0
6CADE78C-B8E1-47CA-B4AC-718B207F9438,2024-03-27 03:55:52 +0000,1e-06,37.43215731304644,-122.17400661413764,27.348410454578698,1.0,10.0
BDA43160-F1A8-4684-8440-55A7288B6CEC,2024-03-27 03:55:53 +0000,1e-06,37.43217011583607,-122.17400757830272,27.4127665925771,1.0,10.0
B975520A-3EDD-4131-8B19-A04DBA478D3E,2024-03-27 03:55:55 +0000,1e-06,37.43218732112996,-122.1740150557733,27.7725426601246,1.0,10.0
B0E4E832-FF95-481E-9F5B-565975F3903D,2024-03-27 03:55:59 +0000,1e-06,37.43221670645864,-122.1740199019276,28.058415291830897,1.0,10.0
01B3EF3F-F5E9-49DB-96F4-AC6DD691EDDB,2024-03-27 03:56:07 +0000,1e-06,37.43220335494479,-122.17405715317652,27.797160105779767,1.0,10.0
5A7A5530-390B-4315-B180-8257A10417E8,2024-03-27 03:56:10 +0000,1e-06,37.43219052185593,-122.1741098126095,27.86114543955773,1.0,10.0
6771FB2B-13DA-4E9C-B0C0-FAC125B09C30,2024-03-27 03:56:47 +0000,2.4,37.43213471772173,-122.17460416948204,25.08733563963324,15.690979295318174,156.90979295318175
