Requirement,Department,Department Code,Number of Courses,Year
Applied Quantitative Reasoning,Marketing,MKTG,0,2023-2024
Ethical Reasoning,Marketing,MKTG,0,2023-2024
Social Inquiry,Operations Information & Technology,OIT,0,2023-2024
Exploring Difference and Power,Operations Information & Technology,OIT,0,2023-2024
Aesthetic and Interpretive Inquiry,Operations Information & Technology,OIT,0,2023-2024
Creative Expression,Operations Information & Technology,OIT,0,2023-2024
Scientific Method and Analysis,Operations Information & Technology,OIT,0,2023-2024
Formal Reasoning,Operations Information & Technology,OIT,0,2023-2024
Applied Quantitative Reasoning,Operations Information & Technology,OIT,0,2023-2024
Ethical Reasoning,Operations Information & Technology,OIT,0,2023-2024
Social Inquiry,Organizational Behavior,OB,1,2023-2024
Exploring Difference and Power,Organizational Behavior,OB,0,2023-2024
Aesthetic and Interpretive Inquiry,Organizational Behavior,OB,0,2023-2024
Creative Expression,Organizational Behavior,OB,0,2023-2024
Scientific Method and Analysis,Organizational Behavior,OB,0,2023-2024
Formal Reasoning,Organizational Behavior,OB,0,2023-2024
Applied Quantitative Reasoning,Organizational Behavior,OB,0,2023-2024
Ethical Reasoning,Organizational Behavior,OB,0,2023-2024
Social Inquiry,Political Economics,POLECON,0,2023-2024
Exploring Difference and Power,Political Economics,POLECON,0,2023-2024
Aesthetic and Interpretive Inquiry,Political Economics,POLECON,0,2023-2024
Creative Expression,Political Economics,POLECON,0,2023-2024
Scientific Method and Analysis,Political Economics,POLECON,0,2023-2024
Formal Reasoning,Political Economics,POLECON,0,2023-2024
Applied Quantitative Reasoning,Political Economics,POLECON,0,2023-2024
Ethical Reasoning,Political Economics,POLECON,0,2023-2024
Social Inquiry,Strategic Management,STRAMGT,0,2023-2024
Exploring Difference and Power,Strategic Management,STRAMGT,0,2023-2024
Aesthetic and Interpretive Inquiry,Strategic Management,STRAMGT,0,2023-2024
Creative Expression,Strategic Management,STRAMGT,0,2023-2024
Scientific Method and Analysis,Strategic Management,STRAMGT,0,2023-2024
Formal Reasoning,Strategic Management,STRAMGT,0,2023-2024
Applied Quantitative Reasoning,Strategic Management,STRAMGT,0,2023-2024
Ethical Reasoning,Strategic Management,STRAMGT,0,2023-2024
Social Inquiry,Education,EDUC,8,2023-2024
Exploring Difference and Power,Education,EDUC,7,2023-2024
Aesthetic and Interpretive Inquiry,Education,EDUC,0,2023-2024
Creative Expression,Education,EDUC,0,2023-2024
Scientific Method and Analysis,Education,EDUC,0,2023-2024
Formal Reasoning,Education,EDUC,0,2023-2024
Applied Quantitative Reasoning,Education,EDUC,0,2023-2024
Ethical Reasoning,Education,EDUC,3,2023-2024
Social Inquiry,Aeronautics & Astronautics,AA,0,2023-2024
Exploring Difference and Power,Aeronautics & Astronautics,AA,0,2023-2024
Aesthetic and Interpretive Inquiry,Aeronautics & Astronautics,AA,0,2023-2024
Creative Expression,Aeronautics & Astronautics,AA,0,2023-2024
Scientific Method and Analysis,Aeronautics & Astronautics,AA,1,2023-2024
Formal Reasoning,Aeronautics & Astronautics,AA,0,2023-2024
Applied Quantitative Reasoning,Aeronautics & Astronautics,AA,5,2023-2024
Ethical Reasoning,Aeronautics & Astronautics,AA,0,2023-2024
Social Inquiry,Bioengineering,BIOE,1,2023-2024
Exploring Difference and Power,Bioengineering,BIOE,0,2023-2024
Aesthetic and Interpretive Inquiry,Bioengineering,BIOE,0,2023-2024
Creative Expression,Bioengineering,BIOE,1,2023-2024
Scientific Method and Analysis,Bioengineering,BIOE,5,2023-2024
Formal Reasoning,Bioengineering,BIOE,2,2023-2024
Applied Quantitative Reasoning,Bioengineering,BIOE,3,2023-2024
Ethical Reasoning,Bioengineering,BIOE,1,2023-2024
Social Inquiry,Chemical Engineering,CHEMENG,0,2023-2024
Exploring Difference and Power,Chemical Engineering,CHEMENG,1,2023-2024
Aesthetic and Interpretive Inquiry,Chemical Engineering,CHEMENG,0,2023-2024
Creative Expression,Chemical Engineering,CHEMENG,1,2023-2024
Scientific Method and Analysis,Chemical Engineering,CHEMENG,2,2023-2024
Formal Reasoning,Chemical Engineering,CHEMENG,0,2023-2024
Applied Quantitative Reasoning,Chemical Engineering,CHEMENG,3,2023-2024
Ethical Reasoning,Chemical Engineering,CHEMENG,0,2023-2024
Social Inquiry,Civil & Environmental Engineering,CEE,5,2023-2024
Exploring Difference and Power,Civil & Environmental Engineering,CEE,1,2023-2024
Aesthetic and Interpretive Inquiry,Civil & Environmental Engineering,CEE,3,2023-2024
Creative Expression,Civil & Environmental Engineering,CEE,4,2023-2024
Scientific Method and Analysis,Civil & Environmental Engineering,CEE,8,2023-2024
Formal Reasoning,Civil & Environmental Engineering,CEE,1,2023-2024
Applied Quantitative Reasoning,Civil & Environmental Engineering,CEE,7,2023-2024
Ethical Reasoning,Civil & Environmental Engineering,CEE,0,2023-2024
Social Inquiry,Computational & Mathematical Engineering,CME,0,2023-2024
Exploring Difference and Power,Computational & Mathematical Engineering,CME,0,2023-2024
Aesthetic and Interpretive Inquiry,Computational & Mathematical Engineering,CME,0,2023-2024
Creative Expression,Computational & Mathematical Engineering,CME,0,2023-2024
Scientific Method and Analysis,Computational & Mathematical Engineering,CME,0,2023-2024
Formal Reasoning,Computational & Mathematical Engineering,CME,5,2023-2024
Applied Quantitative Reasoning,Computational & Mathematical Engineering,CME,2,2023-2024
Ethical Reasoning,Computational & Mathematical Engineering,CME,0,2023-2024
Social Inquiry,Computer Science,CS,0,2023-2024
Exploring Difference and Power,Computer Science,CS,0,2023-2024
Aesthetic and Interpretive Inquiry,Computer Science,CS,0,2023-2024
Creative Expression,Computer Science,CS,3,2023-2024
Scientific Method and Analysis,Computer Science,CS,0,2023-2024
Formal Reasoning,Computer Science,CS,12,2023-2024
Applied Quantitative Reasoning,Computer Science,CS,2,2023-2024
Ethical Reasoning,Computer Science,CS,2,2023-2024
Social Inquiry,Design,DESIGN,0,2023-2024
Exploring Difference and Power,Design,DESIGN,0,2023-2024
Aesthetic and Interpretive Inquiry,Design,DESIGN,0,2023-2024
Creative Expression,Design,DESIGN,2,2023-2024
Scientific Method and Analysis,Design,DESIGN,0,2023-2024
Formal Reasoning,Design,DESIGN,0,2023-2024
Applied Quantitative Reasoning,Design,DESIGN,0,2023-2024
Ethical Reasoning,Design,DESIGN,0,2023-2024
Social Inquiry,Design Institute,DESINST,0,2023-2024
Exploring Difference and Power,Design Institute,DESINST,0,2023-2024
Aesthetic and Interpretive Inquiry,Design Institute,DESINST,0,2023-2024
Creative Expression,Design Institute,DESINST,0,2023-2024
Scientific Method and Analysis,Design Institute,DESINST,0,2023-2024
Formal Reasoning,Design Institute,DESINST,0,2023-2024
Applied Quantitative Reasoning,Design Institute,DESINST,0,2023-2024
Ethical Reasoning,Design Institute,DESINST,0,2023-2024
Social Inquiry,Electrical Engineering,EE,0,2023-2024
Exploring Difference and Power,Electrical Engineering,EE,0,2023-2024
Aesthetic and Interpretive Inquiry,Electrical Engineering,EE,0,2023-2024
Creative Expression,Electrical Engineering,EE,0,2023-2024
Scientific Method and Analysis,Electrical Engineering,EE,15,2023-2024
Formal Reasoning,Electrical Engineering,EE,5,2023-2024
Applied Quantitative Reasoning,Electrical Engineering,EE,7,2023-2024
Ethical Reasoning,Electrical Engineering,EE,0,2023-2024
Social Inquiry,Engineering,ENGR,2,2023-2024
Exploring Difference and Power,Engineering,ENGR,0,2023-2024
Aesthetic and Interpretive Inquiry,Engineering,ENGR,0,2023-2024
Creative Expression,Engineering,ENGR,1,2023-2024
Scientific Method and Analysis,Engineering,ENGR,13,2023-2024
Formal Reasoning,Engineering,ENGR,9,2023-2024
Applied Quantitative Reasoning,Engineering,ENGR,14,2023-2024
Ethical Reasoning,Engineering,ENGR,1,2023-2024
Social Inquiry,Management Science & Engineering,MS&E,2,2023-2024
Exploring Difference and Power,Management Science & Engineering,MS&E,0,2023-2024
Aesthetic and Interpretive Inquiry,Management Science & Engineering,MS&E,0,2023-2024
Creative Expression,Management Science & Engineering,MS&E,0,2023-2024
Scientific Method and Analysis,Management Science & Engineering,MS&E,0,2023-2024
Formal Reasoning,Management Science & Engineering,MS&E,3,2023-2024
Applied Quantitative Reasoning,Management Science & Engineering,MS&E,5,2023-2024
Ethical Reasoning,Management Science & Engineering,MS&E,0,2023-2024
Social Inquiry,Materials Science & Engineer,MATSCI,1,2023-2024
Exploring Difference and Power,Materials Science & Engineer,MATSCI,0,2023-2024
Aesthetic and Interpretive Inquiry,Materials Science & Engineer,MATSCI,0,2023-2024
Creative Expression,Materials Science & Engineer,MATSCI,0,2023-2024
