Department,Requirement,2014-2015,2015-2016,2016-2017,2023-2024,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
COMM,WAY-CE,7.0,6.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,5.0
COMM,WAY-EDP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COMM,WAY-ER,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
COMM,WAY-SI,19.0,19.0,20.0,29.0,18.0,21.0,26.0,25.0,27.0,29.0
COMPLIT,WAY-A-II,49.0,51.0,54.0,91.0,31.0,40.0,47.0,69.0,85.0,89.0
COMPLIT,WAY-CE,0.0,0.0,2.0,6.0,2.0,2.0,2.0,4.0,5.0,5.0
COMPLIT,WAY-EDP,20.0,22.0,23.0,22.0,15.0,15.0,18.0,18.0,18.0,23.0
COMPLIT,WAY-ER,6.0,6.0,6.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0
COMPLIT,WAY-SI,3.0,4.0,6.0,5.0,5.0,3.0,2.0,3.0,5.0,5.0
CSRE,WAY-A-II,17.0,24.0,31.0,42.0,32.0,33.0,38.0,40.0,45.0,46.0
CSRE,WAY-AQR,0.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0
CSRE,WAY-CE,7.0,7.0,9.0,10.0,9.0,8.0,8.0,8.0,10.0,11.0
CSRE,WAY-EDP,42.0,53.0,69.0,102.0,83.0,89.0,92.0,93.0,104.0,111.0
CSRE,WAY-ER,4.0,4.0,5.0,7.0,7.0,6.0,7.0,8.0,8.0,8.0
CSRE,WAY-SI,22.0,31.0,37.0,54.0,46.0,51.0,55.0,60.0,61.0,62.0
DANCE,WAY-A-II,3.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,6.0,8.0
DANCE,WAY-CE,11.0,14.0,18.0,24.0,14.0,16.0,19.0,19.0,21.0,23.0
DANCE,WAY-EDP,3.0,5.0,5.0,4.0,3.0,4.0,6.0,6.0,7.0,8.0
DATASCI,WAY-AQR,,,,2.0,,,,,,2.0
DATASCI,WAY-SI,,,,1.0,,,,,,1.0
DLCL,WAY-A-II,3.0,4.0,10.0,12.0,10.0,14.0,14.0,12.0,9.0,11.0
DLCL,WAY-CE,4.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
DLCL,WAY-EDP,1.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0
DLCL,WAY-ER,0.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0
DLCL,WAY-SI,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
DLCL,WAY-SMA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TAPS,WAY-A-II,50.0,56.0,58.0,58.0,42.0,54.0,60.0,62.0,64.0,70.0
TAPS,WAY-CE,100.0,98.0,68.0,100.0,84.0,86.0,90.0,96.0,102.0,108.0
TAPS,WAY-EDP,22.0,26.0,20.0,28.0,26.0,28.0,34.0,36.0,42.0,42.0
TAPS,WAY-ER,8.0,6.0,0.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0
TAPS,WAY-SI,6.0,6.0,4.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
EALC,WAY-ER,,,,1.0,,,,,,
EALC,WAY-SMA,,,,1.0,,,,,,
EASTASN,WAY-EDP,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EASTASN,WAY-SI,,,,3.0,1.0,1.0,2.0,2.0,2.0,3.0
ECON,WAY-AQR,9.0,10.0,11.0,16.0,13.0,10.0,12.0,15.0,15.0,15.0
ECON,WAY-EDP,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ECON,WAY-FR,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0
ECON,WAY-SI,38.0,41.0,46.0,43.0,43.0,41.0,44.0,45.0,46.0,41.0
ENGLISH,WAY-A-II,48.0,43.0,46.0,85.0,50.0,82.0,90.0,77.0,66.0,73.0
ENGLISH,WAY-AQR,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
ENGLISH,WAY-CE,15.0,19.0,22.0,58.0,25.0,42.0,49.0,49.0,53.0,58.0
ENGLISH,WAY-EDP,14.0,12.0,11.0,26.0,16.0,23.0,27.0,24.0,20.0,25.0
ENGLISH,WAY-ER,2.0,3.0,0.0,4.0,1.0,3.0,5.0,4.0,3.0,4.0
ENGLISH,WAY-FR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENGLISH,WAY-SI,3.0,5.0,5.0,11.0,7.0,10.0,8.0,9.0,8.0,11.0
ETHICSOC,WAY-A-II,6.0,6.0,6.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0
ETHICSOC,WAY-CE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETHICSOC,WAY-EDP,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
ETHICSOC,WAY-ER,17.0,20.0,24.0,26.0,22.0,27.0,31.0,34.0,33.0,34.0
ETHICSOC,WAY-SI,0.0,0.0,0.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0
FEMGEN,WAY-A-II,20.0,23.0,27.0,33.0,32.0,38.0,38.0,36.0,37.0,43.0
FEMGEN,WAY-AQR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FEMGEN,WAY-CE,3.0,4.0,4.0,16.0,8.0,10.0,11.0,11.0,11.0,15.0
FEMGEN,WAY-EDP,39.0,45.0,54.0,67.0,51.0,62.0,60.0,65.0,71.0,77.0
FEMGEN,WAY-ER,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
FEMGEN,WAY-SI,19.0,23.0,26.0,42.0,18.0,29.0,30.0,35.0,44.0,45.0
FILMPROD,WAY-CE,5.0,6.0,6.0,8.0,7.0,9.0,8.0,10.0,10.0,7.0
FILMEDIA,WAY-A-II,,,,30.0,,,,,31.0,30.0
FILMEDIA,WAY-CE,,,,2.0,,,,,2.0,2.0
FILMEDIA,WAY-EDP,,,,2.0,,,,,3.0,2.0
FILMEDIA,WAY-SI,,,,1.0,,,,,2.0,1.0
FRENCH,WAY-A-II,27.0,30.0,38.0,48.0,27.0,30.0,32.0,37.0,43.0,44.0
FRENCH,WAY-CE,1.0,1.0,1.0,4.0,2.0,4.0,6.0,6.0,6.0,4.0
FRENCH,WAY-EDP,8.0,9.0,9.0,10.0,9.0,8.0,7.0,8.0,9.0,9.0
FRENCH,WAY-ER,3.0,3.0,5.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0
FRENCH,WAY-SI,3.0,5.0,10.0,12.0,6.0,7.0,6.0,6.0,8.0,10.0
GERMAN,WAY-A-II,24.0,24.0,27.0,32.0,8.0,10.0,19.0,25.0,29.0,32.0
GERMAN,WAY-CE,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
GERMAN,WAY-EDP,4.0,5.0,7.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0
GERMAN,WAY-ER,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GERMAN,WAY-SI,3.0,6.0,7.0,9.0,3.0,5.0,6.0,8.0,9.0,9.0
GLOBAL,WAY-A-II,1.0,2.0,3.0,9.0,5.0,7.0,8.0,7.0,8.0,8.0
GLOBAL,WAY-CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
GLOBAL,WAY-EDP,1.0,1.0,1.0,5.0,2.0,2.0,3.0,4.0,4.0,5.0
GLOBAL,WAY-ER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GLOBAL,WAY-SI,0.0,0.0,1.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0
GLOBAL,WAY-SMA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HISTORY,WAY-A-II,22.0,30.0,32.0,80.0,28.0,36.0,38.0,48.0,59.0,77.0
HISTORY,WAY-CE,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0
HISTORY,WAY-EDP,53.0,66.0,73.0,156.0,72.0,63.0,83.0,111.0,133.0,151.0
HISTORY,WAY-ER,5.0,5.0,5.0,16.0,4.0,4.0,5.0,8.0,14.0,15.0
HISTORY,WAY-SI,138.0,171.0,179.0,327.0,154.0,146.0,152.0,220.0,274.0,313.0
HPS,WAY-A-II,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HUMBIO,WAY-A-II,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0
HUMBIO,WAY-AQR,6.0,5.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0
HUMBIO,WAY-CE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUMBIO,WAY-EDP,15.0,12.0,15.0,11.0,14.0,14.0,14.0,12.0,10.0,12.0
HUMBIO,WAY-ER,5.0,5.0,6.0,2.0,6.0,3.0,3.0,4.0,4.0,3.0
HUMBIO,WAY-SI,19.0,17.0,20.0,16.0,20.0,21.0,22.0,23.0,21.0,15.0
HUMBIO,WAY-SMA,16.0,15.0,15.0,15.0,15.0,19.0,17.0,17.0,17.0,14.0
HUMRTS,WAY-EDP,,,0.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0
HUMRTS,WAY-ER,,,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0
HUMRTS,WAY-SI,,,2.0,3.0,2.0,6.0,5.0,5.0,6.0,5.0
HUMCORE,WAY-A-II,,,,16.0,7.0,9.0,11.0,16.0,17.0,18.0
HUMCORE,WAY-EDP,,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0
HUMCORE,WAY-ER,,,,4.0,1.0,3.0,4.0,4.0,4.0,4.0
HUMCORE,WAY-SI,,,,2.0,1.0,0.0,0.0,1.0,3.0,3.0
ILAC,WAY-A-II,54.0,54.0,54.0,104.0,34.0,42.0,58.0,72.0,80.0,98.0
ILAC,WAY-CE,10.0,14.0,14.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0
ILAC,WAY-EDP,16.0,14.0,18.0,32.0,16.0,16.0,18.0,18.0,24.0,32.0
ILAC,WAY-ER,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
ILAC,WAY-SI,2.0,2.0,8.0,14.0,4.0,4.0,8.0,10.0,12.0,14.0
INTNLREL,WAY-AQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTNLREL,WAY-EDP,5.0,5.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0
INTNLREL,WAY-ER,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
INTNLREL,WAY-SI,22.0,24.0,24.0,40.0,21.0,27.0,29.0,33.0,35.0,37.0
ITALIAN,WAY-A-II,18.0,18.0,20.0,33.0,12.0,14.0,14.0,20.0,26.0,30.0
